id,year,course name,status
2779477,2,pali,allowed
2779478,3,pali,allowed
2779518,1,zoology,allowed
2779519,2,zoology,allowed
2779520,3,zoology,allowed
2779551,1,home science,allowed
2779552,2,home science,allowed
2779553,3,home science,allowed
2779592,1,mechanical,allowed
2779593,2,mechanical,allowed
2779594,3,mechanical,allowed
2779647,1,business administration,allowed
2779648,2,business administration,allowed
2779716,1,science,allowed
2779717,2,science,allowed
2779718,3,science,allowed
2779761,1,civil engineering,allowed
2779762,2,civil engineering,allowed
2779763,3,civil engineering,allowed
2779770,1,arts,allowed
2779771,2,arts,allowed
2779772,3,arts,allowed
2779822,1,taalvadya-parichay,not allowed
2779823,2,taalvadya-parichay,not allowed
2779862,1,dance-parangat,not allowed
2779863,2,dance-parangat,not allowed
2779882,1,business administration,allowed
2779883,2,business administration,allowed
2779936,1,civil engineering,allowed
2779937,2,civil engineering,allowed
2779938,3,civil engineering,allowed
2779939,4,civil engineering,allowed
2779964,1,science,allowed
2779965,2,science,allowed
2779966,3,science,allowed
2779974,1,nursing,allowed
2779975,2,nursing,allowed
2779976,3,nursing,allowed
2779977,1,arts,allowed
2779978,2,arts,allowed
2779979,3,arts,allowed
2780046,3,science,allowed
2780047,1,science,allowed
2780050,1,arts,allowed
2780056,2,science,allowed
2780059,3,science,allowed
2780061,2,arts,allowed
2780063,1,science,allowed
2780066,3,arts,allowed
2780067,2,science,allowed
2780070,2,science,allowed
2780073,3,science,allowed
2780078,1,science,allowed
2780124,1,mat,not allowed
2780125,2,mat,not allowed
2780126,3,mat,not allowed
2780157,1,electro nics and commun ications enginee ring,not allowed
2780158,2,electro nics and commun ications enginee ring,not allowed
2780171,1,mechanical engg.,not allowed
2780172,2,mechanical engg.,not allowed
2780173,3,mechanical engg.,not allowed
2780174,4,mechanical engg.,not allowed
2780205,1,science,allowed
2780206,2,science,allowed
2780207,3,science,allowed
2777622,1,electronics,allowed
2777624,3,electronics,allowed
2777648,1,administration services,not allowed
2777650,3,administration services,not allowed
2777649,2,administration services,not allowed
2777623,2,electronics,allowed
2777625,4,electronics,allowed
2780258,1,git,not allowed
2780259,2,git,not allowed
2780263,1,arts,allowed
2780264,2,arts,allowed
2780265,3,arts,allowed
2780266,4,arts,allowed
2780267,5,arts,allowed
2780268,5,arts,allowed
2780269,5,arts,allowed
2780270,5,arts,allowed
2780274,1,education,allowed
2780275,2,education,allowed
2780308,1,philosophy,allowed
2780309,2,philosophy,allowed
2780310,3,philosophy,allowed
2780311,1,geography,allowed
2780312,2,geography,allowed
2780313,3,geography,allowed
2780420,1,science,allowed
2780421,2,science,allowed
2780422,3,science,allowed
2780461,1,veterinary epidemiology & preventive medicine,not allowed
2780462,2,veterinary epidemiology & preventive medicine,not allowed
2780513,1,science,allowed
2780514,2,science,allowed
2780515,3,science,allowed
2780533,1,library,not allowed
2780597,1,computer,allowed
2780598,2,computer,allowed
2780603,1,computer,allowed
2780604,2,computer,allowed
2780605,3,computer,allowed
2780606,4,computer,allowed
2780890,1,diploma in computer engineering,not allowed
2780891,2,diploma in computer engineering,not allowed
2780892,3,diploma in computer engineering,not allowed
2780905,1,d.ed,not allowed
2780906,2,d.ed,not allowed
2780913,1,commerce,allowed
2780914,2,commerce,allowed
2780915,3,commerce,allowed
2780936,1,electronics and communication,not allowed
2780937,2,electronics and communication,not allowed
2780938,3,electronics and communication,not allowed
2780939,4,electronics and communication,not allowed
2781009,2,environmental engg.,not allowed
2781004,1,environment,not allowed
2781026,1,nuclear science & engineering,not allowed
2781008,1,environmental engg.,not allowed
2781006,3,environment,not allowed
2781007,4,environment,not allowed
2781027,2,nuclear science & engineering,not allowed
2781005,2,environment,not allowed
2781244,1,sanskrit,allowed
2781245,2,sanskrit,allowed
2781246,3,sanskrit,allowed
2781247,1,urdu,allowed
2781248,2,urdu,allowed
2781249,3,urdu,allowed
2781262,1,maithili,allowed
2781263,2,maithili,allowed
2781264,3,maithili,allowed
2781277,1,computer,allowed
2781278,2,computer,allowed
2781279,3,computer,allowed
2781290,1,discipline,not allowed
2781291,2,discipline,not allowed
2781292,3,discipline,not allowed
2781311,1,mathematics,allowed
2781314,1,computer engineering,allowed
2781315,2,computer engineering,allowed
2781316,3,computer engineering,allowed
2781320,1,electronics engineering,not allowed
2781321,2,electronics engineering,not allowed
2781322,3,electronics engineering,not allowed
2781331,1,cse,allowed
2781332,2,cse,allowed
2781333,3,cse,allowed
2781334,4,cse,allowed
